E,Управление отходами / Waste Management & Remediation
F,Строительство / Construction
FA,Инфраструктурное (гражданское) строительство / Civil Engineering Constructrion
FB,Жилищное строительство / Residential Construction
FC,Коммерческое строительство / Commercial Construction
FD,Промышленное строительство / Industrial Construction
FE,Энергетическое строительство / Power Construction
FF,Военное строительство / Military Construction
FG,Сельскохозяйственное строительство / Agricultural Construction
FH,Специализированные строительные работы / Special Construction Works
G,Оптовая и розничная торговля / Wholesale & Retail Trade
GA,Оптовая торговля / Wholesale
GB,Розничная торговля / Retail Trade
GBA,Продуктовый ритейл / Grocery Retail
GBB,Fashion-ритейл / Fashion Retail
GBC,Ритейл бытовой техники и электроники / Electronics & Appliance Retail
GBD,Парфюмерно-косметический ритейл / Perfume & Cosmetics Retail
GBE,Фармацевтический ритейл / Pharmacy Retail
GBF,Ритейл бытовой химии / Household Chemicals Retail
GBG,Спортивный ритейл / Sporting Goods Retail
GBH,DIY-ритейл / DIY Retail
GBI,Luxury-ритейл / Luxury Retail
GBJ,Мебельный ритейл / Home Furnishings Retail
GBK,Автомобильный и топливный ритейл / Automotive & Fuel Retail
H,Логистика и транспорт / Transportation & Logistics
HA,Пассажироперевозки / Passenger Transportation
HB,Грузоперевозки / Freight Transportation
HC,Складская логистика / Warehousing & Storage
HD,Почтовая и курьерская деятельность / Postal & Courier Services
HE,Деятельность транспортных терминалов / Terminal Services
I,"Гостиничный и ресторанный бизнес / Restaurant, Catering & Hospitality"
IA,Временное размещение / Hospitality Industry
IB,Общественное питание / Restaurant & Catering Industry
J,Информация и связь / Information & Communication
JA,Издательство и полиграфия / Printing & Publishing
JB,Медиапроизводство / Media Production
JC,Телерадиовещание / Broadcasting
JD,Телекоммуникации / Telecommunications
JE,IT-отрасль / IT Industry
K,Финансы и страхование / Finance & Insurance
KA,Банковский сектор / Banking
KB,Инвестиции / Investments
KC,Страхование / Insurance
KD,Лизинг / Leasing
L,"Профессиональные услуги и консалтинг / Professional, Scientific & Technical Services"
LA,"Юридические, бухгалтерские, аудиторские услуги / Legal Services, Audit & Accounting"
LB,Управленческий консалтинг / Management Consulting
LC,Научные исследования и разработки / Research & Development
LD,Инжиниринг / Engineering
LDA,Сельскохозяйственный инжиниринг и технологии / Agricultural Engineering
LDB,Горнодобывающий инжиниринг и технологии / Mining Engineering & Technologies
LDC,Нефтегазовый инжиниринг / Petroleum Engineering & Technologies
LDD,Пищевая инженерия и технологии / Food Engineering & Technologies
LDE,Текстильная и швейная инженерия / Fashion & Apparel Engineering
LDF,Инженерия деревопереработки / Wood Engineering
LDG,Механическая инженерия / Mechanical Engineering
LDH,Электронная инженерия / Electronic Engineering
LDI,Автомобильная инженерия / Automotive Engineering
LDJ,Аэрокосмическая инженерия / Aerospace Engineering
LDK,Военная инженерия / Military Engineering
LDL,Инженерия целлюлозно-бумажного производства / Paper Engineering
LDM,Инженерия нефтепереработки / Petroleum Refining Engineering
LDN,Химическая инженерия / Chemical Engineering
LDO,Фармацевтическая инженерия / Pharmaceutical Engineering
LDP,Керамическая инженерия / Ceramic Engineering
LDQ,Металлургическая инженерия / Metallurgical Engineering
LDR,Энергетическая инженерия / Power Engineering
LDS,Коммунальная инженерия / Utility Engineering
LDT,Строительная инженерия / Construction Engineering
LDU,Логистическая инженерия / Logistics Engineering
LDV,Телекоммуникационная инженерия / Telecommunications Engineering
LDW,Медицинская инженерия / Healthcare Engineering
LE,Реклама и маркетинг / Marketing & Advertising
M,Административные и вспомогательные услуги / Administrative & Support Services
MA,Арендная деятельность / Rental Services
MB,Кадровые услуги / Human Resource Services
MC,Туристические услуги / Travel Services
MD,Обеспечение безопасности / Security Services
ME,Обслуживание зданий и территорий / Building Maintenance
N,Образование / Education & Training
NA,Общее образование / General Education
NB,Профессиональное образование / Professional Education
NC,Дополнительное образование / Supplementary Education
O,Здравоохранение и социальные услуги / Healthcare & Social Assistance
OA,Медицина и здравоохранение / Healthcare
OB,Ветеринарная медицина / Veterinary Services
OC,Социальные услуги / Social Assistance
P,"Искусство, культура, сфера развлечений и отдыха / Arts, Entertainment & Recreation"
PA,Культура и искусство / Arts & Culture
PB,"Азартные игры, пари, лотереи / Gambling"
PC,Спорт и отдых / Sport & Recreation
Q,Прочие потребительские услуги / Miscellaneous Personal Services
R,"Общественные организации, государственные и экстерриториальные органы / Public Administration & Defence"
RA,Общественные организации и объединения / Non-Profit Organizations
RAA,Коммерческие и предпринимательские организации / Business Associations
RAB,Профессиональные членские организации и союзы / Professional Associations
RAC,Благотворительные и правозащитные организации / Charities & Human Rights Organizations
RAD,Природоохранные и экологические организации / Environmental Organizations
RAE,Религиозные организации и объединения / Religious Organizations
RAF,Политические партии и движения / Political Organizations
RB,Государственные органы / State Bodies
RC,Экстерриториальные организации и органы / Extraterritorial Organizations & Bodies
